10, b-SLICE,    8, 34.00,     153216, 0,1.01,30.728, 30.976, 30.916, 30.782,29, 7 5 ,9 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%, 16.17%, 14.69%,  0.03%,  0.00%,  0.06%,  0.14%,  0.00%,  0.03%, 20.26%, 48.44%,  0.17%, 233302.92, 113281.99, 0.00, 241100.35 , 0, 255, 65.98, 0, 255, 69.23, 0, 255, 63.56, 0.00%, 83.33%,0.00%, 0.00%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.68%,0.00%, 0.27%, 44.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 74.94%,0.00%, 2.46%, 22.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 84.38%,0.00%, 0.00%, 15.62%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.1, 3.2, 1800241.0, 1759942.9, 0.0, 0.0, 28221039.3, 1.000, 0
11, P-SLICE,   15, 32.00,   34977880, 0,1.02,30.390, 31.107, 31.086, 30.566,23, 10 9 7 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.19%,  0.18%, 0.08%,  0.38%,  1.28%, 2.06%,  5.69%, 39.34%, 0.00%,  0.00%,  0.11%,  1.63%, 49.00%,  0.00%,  0.00%,  0.00%,  0.02%,  0.00%,  0.00%,  0.00%,  0.01%, 302945.87, 127111.47, 0.00, 17634337.98 , 0, 255, 69.05, 0, 255, 86.81, 0, 255, 79.68, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.88%, 0.00%,0.00%, 11.55%, 9.57%, 0.00%, 0.00%, 0.00%, 0.00%, 48.51%, 0.00%,0.00%, 32.08%, 19.42%, 0.00%, 0.00%, 0.00%, 0.00%, 48.99%, 0.03%,0.00%, 27.67%, 23.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 32897.8, 779.5, 3260034.6, 3180893.7, 0.0, 0.0, 31503974.7, 1.000, 0
12, B-SLICE,   13, 33.00,     435800, 0,1.02,31.324, 31.997, 32.052, 31.499,26, 10 9 5 ,15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%, 56.88%, 21.18%,  0.29%,  0.00%,  0.03%,  0.05%,  0.00%,  0.00%,  5.28%, 15.67%,  0.63%, 220898.10, 95781.10, 0.00, 241735.95 , 0, 255, 69.05, 0, 255, 86.81, 0, 255, 79.68, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 8.53%,0.00%, 0.28%, 91.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.30%,0.00%, 5.45%, 54.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.27%,0.00%, 0.00%, 31.73%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.2, 3.2, 1796810.4, 1756130.0, 0.0, 0.0, 33303825.6, 1.000, 0
13, b-SLICE,   11, 34.00,     341736, 0,1.02,30.290, 31.250, 31.334, 30.541,29, 10 9 ,13 15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.16%, 80.20%,  6.89%,  0.08%,  0.00%,  0.05%,  0.05%,  0.00%,  0.02%,  9.53%,  2.88%,  0.15%, 278195.64, 116674.81, 0.00, 297721.99 , 0, 255, 68.75, 0, 255, 86.78, 0, 255, 80.32, 0.00%, 12.50%,0.00%, 0.00%, 87.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 10.66%,0.00%, 0.27%, 89.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.29%,0.00%, 22.01%, 54.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.00%,0.00%, 0.00%, 35.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.2, 2.9, 1794903.0, 1753413.8, 0.0, 0.0, 35101845.3, 1.000, 0
14, b-SLICE,   12, 34.00,   22641232, 0,1.01,28.568, 28.729, 28.712, 28.606,29, 10 9 ,13 15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  1.21%,  9.34%, 89.40%,  0.00%,  0.00%,  0.00%,  0.01%,  0.00%,  0.00%,  0.00%,  0.02%, 405358.98, 206869.93, 0.00, 6449696.33 , 0, 255, 65.94, 0, 255, 69.33, 0, 255, 63.39, 0.00%, 0.00%,0.00%, 43.75%, 56.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 36.08%, 63.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 46.49%, 53.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.04%,0.00%, 48.80%, 51.17%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.7, 3.2, 3425997.3, 3342039.2, 0.0, 0.0, 38526297.8, 1.000, 0
15, b-SLICE,   14, 34.00,   22649360, 0,1.01,28.563, 28.727, 28.714, 28.602,28, 13 10 9 ,15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.29%,  9.48%, 89.20%,  0.00%,  0.00%,  0.00%,  0.01%,  0.00%,  0.00%,  0.00%,  0.02%, 405911.64, 206873.80, 0.00, 6524385.59 , 0, 255, 65.94, 0, 255, 69.33, 0, 255, 63.39, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 36.19%, 63.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 46.12%, 53.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.04%,0.00%, 48.35%, 51.61%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.7, 3.2, 3351847.5, 3274055.1, 0.0, 0.0, 41875122.0, 1.000, 0
16, P-SLICE,   20, 32.00,   27329928, 0,1.01,30.370, 30.677, 30.688, 30.448,23, 15 13 10 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.31%,  0.89%, 0.35%,  1.38%,  8.21%, 1.02%,  2.39%, 26.55%, 0.00%,  0.00%,  0.36%,  7.43%, 51.10%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 278233.70, 127240.83, 0.00, 11008007.94 , 0, 255, 65.98, 0, 255, 68.60, 0, 255, 63.87, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.39%, 0.00%,0.00%, 7.82%, 14.79%, 0.00%, 0.00%, 0.00%, 0.00%, 56.16%, 0.00%,0.00%, 20.39%, 23.45%, 0.00%, 0.00%, 0.00%, 0.00%, 36.96%, 0.00%,0.00%, 30.10%, 32.95%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 55834.9, 731.9, 2314670.1, 2251884.2, 0.0, 0.0, 44237523.9, 1.000, 0
17, B-SLICE,   18, 33.00,   24815152, 0,1.01,29.413, 29.705, 29.666, 29.481,26, 15 13 9 ,20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.31%,  9.65%, 89.04%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 336410.44, 168298.09, 0.00, 6392669.62 , 0, 255, 65.96, 0, 255, 68.65, 0, 255, 63.65, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 36.61%, 63.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 48.67%, 51.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 51.67%, 48.32%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.8, 2.4, 3385986.1, 3300653.6, 0.0, 0.0, 47626617.9, 1.000, 0
18, b-SLICE,   16, 34.00,     367696, 0,1.01,29.840, 29.962, 29.873, 29.859,29, 15 13 ,18 20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%, 23.89%, 22.78%,  0.69%,  0.00%,  0.04%,  0.06%,  0.00%,  0.03%, 21.89%, 29.47%,  1.15%, 284398.25, 141893.57, 0.00, 302704.21 , 0, 255, 65.96, 0, 255, 68.65, 0, 255, 63.65, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.87%,0.00%, 0.24%, 51.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.63%,0.00%, 3.32%, 42.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.30%,0.00%, 1.19%, 36.51%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.8, 6.0, 1732332.0, 1692927.4, 0.0, 0.0, 49361823.0, 1.000, 0
19, b-SLICE,   17, 34.00,   31622696, 0,1.02,28.517, 29.374, 29.328, 28.725,29, 15 13 ,18 20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.80%,  4.68%, 94.48%,  0.00%,  0.00%,  0.00%,  0.03%,  0.00%,  0.00%,  0.00%,  0.02%, 454540.29, 202936.59, 0.00, 13366178.42 , 0, 255, 69.06, 0, 255, 86.36, 0, 255, 79.00, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 60.27%, 39.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 65.04%, 34.96%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%,0.00%, 59.39%, 40.57%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.2, 3.4, 4449018.7, 4345267.5, 0.0, 0.0, 53809667.8, 1.000, 0
